Year,Illinois Residents,Out-of-State,Unknown,Total Abortions
2020,36174,9686,383,46243
2019,38756,7534,227,46517
2018,36713,5668,60,42441
2017,32832,5528,969,39329
2016,32663,4543,"1,176",38382
2015,34498,3210,"2,148",39856
2014,33247,2970,"2,255",38472
2013,37230,3189,331,40750
2012,39849,3138,216,43203
2011,37922,3139,263,41324
2010,38622,3050,187,41859
2009,41307,3624,"1,146",46077
2008,42703,3903,"1,111",47717
2007,39291,4042,"1,965",45298
2006,40412,3940,"2,115",46467
2005,38409,3317,"1,683",43409
2004,40023,3400,114,43537
2003,38700,3497,31,42228
2002,42655,4207,83,46945
2001,41523,4488,535,46546
2000,40754,4852,278,45884
1999,41509,4294,121,45924
1998,44815,4517,71,49403
1997,46121,3916,110,50147
1996,49457,3859,297,53613
1995,48529,3575,196,52300
